UnixTime,Row,Segment,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight
1676984940.5570412,47233,BlankScreen2,2023-02-21 18:39:00.557041,1321.0,427.0,1295.0,439.0,3.464813232421875,3.274200439453125,393556.6819999999,627.8505249023438,622.3070678710938,0.5390644669532775,0.5129526853561401,0.3932045996189117,0.5061844587326049,0.0,0.0
1676984940.5657146,47234,BlankScreen2,2023-02-21 18:39:00.565715,1305.0,444.0,1300.0,441.0,-1.0,-1.0,393565.3559999999,627.7692260742188,622.2337646484375,0.539022386074066,0.5130037069320678,0.393193632364273,0.5061794519424438,0.0,0.0
1676984940.5737133,47235,BlankScreen2,2023-02-21 18:39:00.573713,1298.0,447.0,1277.0,453.0,-1.0,-1.0,393573.353,627.760498046875,622.2457885742188,0.5391674637794494,0.5130104422569274,0.3932848274707794,0.5061927437782286,0.0,0.0
1676984940.5821767,47236,BlankScreen2,2023-02-21 18:39:00.582177,1300.0,445.0,1299.0,429.0,3.43939208984375,3.208709716796875,393581.818,627.74853515625,622.2531127929688,0.5391137599945068,0.5130109786987304,0.3932028710842132,0.5061689615249633,0.0,0.0
1676984940.5904942,47237,BlankScreen2,2023-02-21 18:39:00.590494,1323.0,436.0,1292.0,434.0,-1.0,-1.0,393590.134,627.6550903320312,622.1660766601562,0.539023756980896,0.5129804015159606,0.3932012915611267,0.506158173084259,0.0,0.0
1676984940.5989237,47238,BlankScreen2,2023-02-21 18:39:00.598924,1305.0,452.0,1308.0,442.0,-1.0,-1.0,393598.565,627.6228637695312,622.161376953125,0.5391188263893127,0.5129494071006774,0.3933110237121582,0.5061071515083313,0.0,0.0
1676984940.6071205,47239,BlankScreen2,2023-02-21 18:39:00.607121,1312.0,446.0,1315.0,443.0,3.478546142578125,3.24359130859375,393606.762,627.5928955078125,622.1558837890625,0.5390639901161193,0.5128910541534423,0.3932192325592041,0.5061517357826232,0.0,0.0
1676984940.615491,47240,BlankScreen2,2023-02-21 18:39:00.615491,1302.0,438.0,1317.0,441.0,-1.0,-1.0,393615.131,627.4513549804688,622.0542602539064,0.5390471816062927,0.5129677653312683,0.3932147324085235,0.506136417388916,0.0,0.0
1676984940.6237078,47241,BlankScreen2,2023-02-21 18:39:00.623708,1320.0,445.0,1312.0,432.0,-1.0,-1.0,393623.34899999993,627.3658447265625,622.0336303710938,0.5391445755958557,0.5129438042640686,0.3933068513870239,0.5061617493629454,0.0,0.0
1676984940.6321034,47242,BlankScreen2,2023-02-21 18:39:00.632103,1305.0,442.0,1285.0,439.0,3.5428619384765625,3.2546539306640625,393631.744,627.3004150390625,622.0134887695312,0.5390778183937072,0.5128865838050842,0.3932386636734008,0.506136417388916,0.0,0.0
