Row,Timestamp,Combined Event Source,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,InputEventSource,Data,StimType.1,CPU Sys,Memory Sys,CPU Proc,Memory Proc,Event Group,Event Label,Event Text,Event Index,Category 1 active on ScreenRecording-1,Category 1 instance on ScreenRecording-1,CatI_tem1 active on ScreenRecording-1,CatI_tem1 instance on ScreenRecording-1
1647,289582,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1158;Y:631;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage,,,,,,,,,,,,
1648,289670,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1158;Y:631;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage,,,,,,,,,,,,
1649,289987,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1148;Y:635,TestImage,,,,,,,,,,,,
1650,290012,External Events API iMotions.SysMonitor SysLoadMeter (v1),,,,,ScreenRecording-1,,,,9.86311149597168,58.5941188196946,2.25871682167053,1971.41796875,,,,,,,,
1651,290014,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1062;Y:661,TestImage,,,,,,,,,,,,
1652,290038,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:928;Y:690,TestImage,,,,,,,,,,,,
1653,290062,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:753;Y:719,TestImage,,,,,,,,,,,,
1654,290089,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:649;Y:734,TestImage,,,,,,,,,,,,
1655,290109,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:474;Y:756,TestImage,,,,,,,,,,,,
1656,290134,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:380;Y:770,TestImage,,,,,,,,,,,,
1657,290158,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:326;Y:778,TestImage,,,,,,,,,,,,
1658,290182,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:292;Y:782,TestImage,,,,,,,,,,,,
1659,290213,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:267;Y:785,TestImage,,,,,,,,,,,,
1660,290238,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:218;Y:788,TestImage,,,,,,,,,,,,
1661,290262,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:205;Y:789,TestImage,,,,,,,,,,,,
1662,290365,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:203;Y:790,TestImage,,,,,,,,,,,,
1663,290389,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:210;Y:788,TestImage,,,,,,,,,,,,
1664,290413,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:219;Y:784,TestImage,,,,,,,,,,,,
1665,290438,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:244;Y:775,TestImage,,,,,,,,,,,,
1666,290465,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:256;Y:772,TestImage,,,,,,,,,,,,
1667,290486,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:389;Y:755,TestImage,,,,,,,,,,,,
1668,290510,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:449;Y:755,TestImage,,,,,,,,,,,,
